"FEATURE","CLEAN_FEAT","APPROVALDT","ORIGIN","DIAMETER","CENTER_LON","CENTER_LAT","TYPE","CODE","APPROVAL","MIN_LON","MAX_LON","MIN_LAT","MAX_LAT","ETHNICITY","CONTINENT","QUAD_NAME","QUAD_CODE","LINK"
"Holden W","Holden W","2006-01-01 00:00:00","Edward Singleton; American astronomer (1846-1914).","11.5306","60.0193699600149","-18.9104356773475","Satellite Feature","SF","Adopted by IAU","59.8183841705322","60.2203578948975","-19.1005630493164","-18.720308303833","American","North America","Petavius","LAC-98","http://planetarynames.wr.usgs.gov/Feature/10026"
"Holetschek N","Holetschek N","2006-01-01 00:00:00","Johann; Austrian astronomer (1846-1923).","16.4887","150.207082750846","-30.2471663707677","Satellite Feature","SF","Adopted by IAU","149.892358779907","150.521810531616","-30.5190467834473","-29.975284576416","Austria","Europe","O'Day","LAC-103","http://planetarynames.wr.usgs.gov/Feature/10027"
"Holetschek P","Holetschek P","2006-01-01 00:00:00","Johann; Austrian astronomer (1846-1923).","15.6198","149.557090412658","-29.9766431884786","Satellite Feature","SF","Adopted by IAU","149.259801864624","149.854379653931","-30.2341976165771","-29.719087600708","Austria","Europe","Gagarin","LAC-102","http://planetarynames.wr.usgs.gov/Feature/10028"
"Holetschek R","Holetschek R","2006-01-01 00:00:00","Johann; Austrian astronomer (1846-1923).","77.8457","147.828427307358","-29.1285337999693","Satellite Feature","SF","Adopted by IAU","146.358964920044","149.297891616821","-30.4121265411377","-27.8449401855469","Austria","Europe","Gagarin","LAC-102","http://planetarynames.wr.usgs.gov/Feature/10029"
"Hommel V","Hommel V","2006-01-01 00:00:00","Johann; German astronomer, mathematician (1518-1562).","13.3835","33.6451192447487","-53.74846743696","Satellite Feature","SF","Adopted by IAU","33.2720241546631","34.0182094573975","-53.9691467285156","-53.5277862548828","Germany","Europe","Hommel","LAC-127","http://planetarynames.wr.usgs.gov/Feature/10051"
"Heinsius F","Heinsius F","2006-01-01 00:00:00","Gottfried; German astronomer (1709-1769).","7.19673","340.266660993215","-40.5459883623588","Satellite Feature","SF","Adopted by IAU","340.110525131226","340.422800064087","-40.6646537780762","-40.4273204803467","Germany","Europe","Wilhelm","LAC-111","http://planetarynames.wr.usgs.gov/Feature/9807"
"Heinsius G","Heinsius G","2006-01-01 00:00:00","Gottfried; German astronomer (1709-1769).","10.0893","345.385244197301","-38.3183618493988","Satellite Feature","SF","Adopted by IAU","345.173189163208","345.597303390503","-38.4847240447998","-38.1519985198975","Germany","Europe","Wilhelm","LAC-111","http://planetarynames.wr.usgs.gov/Feature/9808"
"Heinsius H","Heinsius H","2006-01-01 00:00:00","Gottfried; German astronomer (1709-1769).","7.28602","341.436928920128","-37.5111515258237","Satellite Feature","SF","Adopted by IAU","341.285470962524","341.588388442993","-37.631290435791","-37.3910121917725","Germany","Europe","Wilhelm","LAC-111","http://planetarynames.wr.usgs.gov/Feature/9809"
"Heinsius J","Heinsius J","2006-01-01 00:00:00","Gottfried; German astronomer (1709-1769).","7.89947","339.546390454738","-39.3209929772236","Satellite Feature","SF","Adopted by IAU","339.378503799438","339.714254379272","-39.4518909454346","-39.1900997161865","Germany","Europe","Wilhelm","LAC-111","http://planetarynames.wr.usgs.gov/Feature/9810"
"Heinsius K","Heinsius K","2006-01-01 00:00:00","Gottfried; German astronomer (1709-1769).","4.88634","341.402100106879","-38.5779451118514","Satellite Feature","SF","Adopted by IAU","341.299020767212","341.505182266235","-38.6585159301758","-38.4973735809326","Germany","Europe","Wilhelm","LAC-111","http://planetarynames.wr.usgs.gov/Feature/9811"
