NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
KIMURA;Cratère;;Hisashi Kimura;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronome;Japon;japonais;20;20 ème siècle;??;1870;??;1943;??;118,4;118,4 ° Est;-57,1;57,1 ° Sud;Sud-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;28;28;16;16;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
KING;Cratère;;Arthur S. King;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Physicien;Etats-Unis;américain;20;20 ème siècle;??;1876;??;1957;??;120,5;120,5 ° Est;5;5 ° Nord;Nord-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;76;76;45;45;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
KIRKWOOD;Cratère;;Daniel Kirkwood;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronome;Etats-Unis;américain;19;19 ème siècle:;??;1814;??;1895;??;-156,1;156,1 ° Ouest;68,8;68,8 ° Nord;Nord-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;V-029-M V-029-H3 V-025-M;67;67;39;39;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
KLEYMENOV;Cratère;;Ivan T. Kleymenov;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Ingénieur;URSS;soviétique;20;20 ème siècle;??;1898;??;1938;Concepteur de lanceurs spatiaux;-140,2;140,2 ° Ouest;-32,4;32,4 ° Sud;Sud-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;V-030-H2;55;55;32;32;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
KLUTE;Cratère;;Daniel O. Klute;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Ingénieur;Etats-Unis;américain;20;20 ème siècle;??;1898;??;1938;Concepteur de lanceurs spatiaux;-141,3;141,3 ° Ouest;37,2;37,2 ° Nord;Nord-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;V-032-M V-031-M;75;75;44;44;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
KOCH;Cratère;;Robert Koch;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Médecin;Allemagne;allemand;19;19 ème siècle:;Clausthal;1843;Baden-Baden;1910;Découvreur des bacilles de la tuberculose et du choléra.Inventeur du mode de préparation de la tuberculine. Prix Nobel en 1905.;150,1;150,1 ° Est;-42,8;42,8 ° Sud;Sud-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;95;95;56;56;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
KOHLSCHEUTTER;Cratère;;Arnold Kohlscheutter;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronome;Allemagne;allemand;20;20 ème siècle;??;1883;??;1969;??;154;154 ° Est;14,4;14,4 ° Nord;Nord-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;53;53;31;31;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
KOLHERSTER;Cratère;;Werner Kolherster;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Physicien;Allemagne;allemand;20;20 ème siècle;??;1887;??;1946;??;-114,6;114,6 ° Ouest;11,2;11,2 ° Nord;Nord-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;V-014-M;97;97;57;57;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
KOMAROV;Cratère;;Vladimir M. Komarov;UAI 1979 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Cosmonaute;Russie;russe;20;20 ème siècle;??;1927;??;1967;Pilote de la mission Voshkod 1 et de la mission Soyouz 1. Mort lors du retour sur Terre de cette cabine le 23 avril 1967 par non déploiement des parachutes.;152,5;152,5 ° Est;24,7;24,7 ° Nord;Nord-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;V-124-M V-103-M V-085-M;78;78;46;46;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
KONDRATYUK;Cratère;;Yurij V. Kondratyuk;UAI 1985 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Ingénieur;URSS;soviétique;20;20 ème siècle;??;1897;??;1942;Concepteur de lanceurs spatiaux;115,5;115,5 ° Est;-14,9;14,9 ° Sud;Sud-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;108;108;64;64;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
KONOPLEV;Cratère;;B.T. Konoplev;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Ingénieur;URSS;soviétique;20;20 ème siècle;??;1912;??;1960;Spécialiste en radio.;-125,5;125,5 ° Ouest;-28,5;28,5 ° Sud;Sud-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;25;25;15;15;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
KONSTANTINOV;Cratère;;Konstantin I. Konstantinov;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Ingénieur;URSS;soviétique;20;20 ème siècle;??;1817;??;1871;Concepteur de lanceurs spatiaux;158,4;158,4 ° Est;19,8;19,8 ° Nord;Nord-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;66;66;39;39;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
KOPFF;Cratère;;August Kopff;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronome;Allemagne;allemand;20;20 ème siècle;??;1882;??;1960;??;-89,6;89,6 ° Ouest;-17,4;17,4 ° Sud;Sud-Ouest;;VII;Mare Orientale;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;IV-187-H2;41;41;24;24;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Formation circulaire située dans la zone des librations.;;;;1;Formation difficile ou peu intéressante;14;Pleine Lune;6 jours après le Dernier Quartier;30;Jumelles x10;Lunette 50 mm
KOROLEV;Cratère;;Sergej Pavlovitch Korolev;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Ingénieur;URSS;soviétique;20;20 ème siècle;Jitomir;1906;Moscou;1966;Directeur du groupe pour l'étude de la propulsion par réaction en 1932. Développeur du lanceur Semiorka qui plaça le 4 octobre 1957 Spoutnik 1 en orbite. Principal constructeur des lanceurs spatiaux soviétiques. Cendres dans le mur du Kremlin.;-157,4;157,4 ° Ouest;-4;4 ° Nord;Nord-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;I-039-M I-030-H2 I-030-H1 I-030-M IV-051-M I-038-H2 I-038-H1 I-038-M I-037-M I-035-M I-036-H1 I-036-M I-036-H2 I-028-M;437;437;257;257;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
KOSBERG;Cratère;;C. A. Kosberg;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Aéronaute;URSS;soviétique;20;20 ème siècle;??;1903;??;1965;??;149,6;149,6 ° Est;-20,2;20,2 ° Sud;Sud-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;15;15;9;9;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
KOSTINSKIY;Cratère;;Sergey K. Kostinskiy;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronome;URSS;soviétique;20;20 ème siècle;??;1867;??;1937;??;118,8;118,8 ° Est;14,7;14,7 ° Nord;Nord-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;75;75;44;44;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
KOVALEVSKAYA;Cratère;;Sofia V. Kovalevskaya;UAI 1979 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Mathématicienne;Russie;russe;19;19 ème siècle:;??;1850;??;1891;??;-129,6;129,6 ° Ouest;30,8;30,8 ° Nord;Nord-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;V-028-M V-028-H2 I-040-M V-024-M V-024-H2;115;115;68;68;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
KOVAL'SKIJ;Cratère;;Marian A. Koval'skij;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronome;Russie;russe;19;19 ème siècle:;??;1821;??;1884;??;101;101 ° Est;-21,9;21,9 ° Sud;Sud-Est;;IV;Curie;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;49;49;29;29;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Circular formation situated in the librations zone;;;;1;Formation difficile ou peu intéressante;1;2 jours après la Nouvelle Lune;1 jour après la Pleine Lune;30;Jumelles x10;Lunette 50 mm
KOZYREV;Cratère;;Nikolay A. Kozyrev;UAI 1985 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronome;URSS;soviétique;20;20 ème siècle;??;1908;??;1983;Observateur d'un phén omène lunaire transitoire dans le cratère Alphonsus dont il en registra le spectre. ;129,3;129,3 ° Est;-46,8;46,8 ° Sud;Sud-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;65;65;38;38;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
KRAMAROV;Cratère;;G.M. Kramarov;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Ingénieur;URSS;soviétique;20;20 ème siècle;??;1887;??;1970;Spécialisé dans le domaine spatial.;-98,8;98,8 ° Ouest;-2,3;2,3 ° Sud;Sud-Ouest;;VII;Mare Orientale;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;IV-195-H3;20;20;12;12;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Formation circulaire située dans la zone des librations.;;;;1;Formation difficile ou peu intéressante;14;Pleine Lune;6 jours après le Dernier Quartier;30;Jumelles x10;Lunette 50 mm
KRAMERS;Cratère;;Hendrik A. Kramers;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Physicien;Pays-Bas;hollandais;20;20 ème siècle;??;1894;??;1952;??;-127,6;127,6 ° Ouest;53,6;53,6 ° Nord;Nord-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;V-015-H3 V-025-H1 V-024-H3;61;61;36;36;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
KRASOVSKIY;Cratère;;Feodosiy N. Krasovskiy;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Géodésiste;URSS;soviétique;20;20 ème siècle;??;1878;??;1948;??;-175,5;175,5 ° Ouest;3,9;3,9 ° Nord;Nord-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;59;59;35;35;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
KRYLOV;Cratère;;Aleksej N. Krylov;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Ingénieur;URSS;soviétique;20;20 ème siècle;??;1863;??;1945;Spécialiste en mécanique.;-165,8;165,8 ° Ouest;35,6;35,6 ° Nord;Nord-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;49;49;29;29;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
KUGLER;Cratère;;F. X. Kugler;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Historien;Allemagne;allemand;20;20 ème siècle;??;1862;??;1929;Spécialiste de Babylone;103,7;103,7 ° Est;-53,8;53,8 ° Sud;Sud-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;IV-009-H1 IV-008-M;65;65;38;38;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
KULIK;Cratère;;Leonid A. Kulik;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Minéralogiste;URSS;soviétique;20;20 ème siècle;??;1883;??;1942;Etude du météorite de la Toungouska survenu en 1908.;-154,5;154,5 ° Ouest;42,4;42,4 ° Nord;Nord-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;V-039-M;58;58;34;34;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
KUO SHOU CHING;Cratère;;Kuo Shou Ching;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronome;Chine;chinois;13;13 ème siècle;??;1231;??;1316;??;-133,7;133,7 ° Ouest;8,4;8,4 ° Nord;Nord-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;V-028-H1;34;34;20;20;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
KURCHATOV;Cratère;;Igor V Kurchatov.;UAI 1973 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Physicien;URSS;soviétique;20;20 ème siècle;??;1903;??;1960;Recherches en physique nucléaire. Synthèse de radio-éléments.;142,1;142,1 ° Est;38,3;38,3 ° Nord;Nord-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;V-124-H2 V-124-M V-103-M;106;106;62;62;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
LACCHINI;Cratère;;Giovanni Lacchini;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronome;Italie;italien;20;20 ème siècle;??;1884;??;1967;??;-107,5;107,5 ° Ouest;41,7;41,7 ° Nord;Nord-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;V-015-H3;58;58;34;34;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
LAMB;Cratère;;Sir Horace Lamb;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Physicien;Royaume Uni;britannique;20;20 ème siècle;??;1849;??;1934;??;100,1;100,1 ° Est;-42,9;42,9 ° Sud;Sud-Est;;IV;Curie;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;IV-009-H2;106;106;62;62;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Formation circulaire située dans la zone des librations.;;;;1;Formation difficile ou peu intéressante;1;2 jours après la Nouvelle Lune;1 jour après la Pleine Lune;30;Jumelles x10;Lunette 50 mm
LAMPLAND;Cratère;;Carl O. Lampland;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronome;Etats-Unis;américain;20;20 ème siècle;??;1873;??;1951;??;131;131 ° Est;-31;31 ° Nord;Nord-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;65;65;38;38;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
LANDAU;Cratère;;Lev Davidovitch Landau;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Physicien;Russie;russe;20;20 ème siècle;Bakou;1908;Moscou;1968;Travaux sur le magnétisme, le rayonnement cosmique, la superfluidité de l'hélium et la théorie quantique des champs. Auteur avec E. M. Lifchits d'un relarquable traité de physique. Prix Nobel en 1962.;-118,1;118,1 ° Ouest;41,6;41,6 ° Nord;Nord-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;V-008-M V-015-H3 V-024-M V-014-M V-024-H3;214;214;126;126;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
LANDER;Cratère;;Richard Lemon Lander;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Explorateur;Royaume Uni;britannique;19;19 ème siècle:;??;1804;??;1834;??;131,8;131,8 ° Est;-15,3;15,3 ° Sud;Sud-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;I-136-M;40;40;24;24;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
LANE;Cratère;;Jonathan H. Lane;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astrophysicien;Etats-Unis;américain;19;19 ème siècle:;??;1819;??;1880;??;132;132 ° Est;-9,5;9,5 ° Sud;Sud-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;I-136-M I-102-M I-117-M III-121-M;55;55;32;32;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
LANGEMAK;Cratère;;Georgij E. Langemak;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Ingénieur;URSS;soviétique;20;20 ème siècle;??;1898;??;1938;Spécialiste en astronautique;118,7;118,7 ° Est;-10,3;10,3 ° Sud;Sud-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;I-136-M;97;97;57;57;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
LANGEVIN;Cratère;;Paul Langevin;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Physicien;France;français;20;20 ème siècle;Paris;1872;Paris;1946;Travaux sur le mouvement brownien et l'ionisation des gaz. Théories sur le rayonnement, le magnétisme et en thermodynamique. Théorie à la base du sonar. Membre de l'Académie des sciences en 1934. ;162,7;162,7 ° Est;44,3;44,3 ° Nord;Nord-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;V-085-M V-079-M V-079-H3;58;58;34;34;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
LANGMUIR;Cratère;;Irving Langmuir;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Physicien;Etats-Unis;américain;20;20 ème siècle;Brooklyn;1881;Falmouth;1957;Etudes sur les réfractaires et les ampoules électriques.Auteur de théories sur la valence électrochimique et la catalyse hétérogène. Inventeur d'une pompe à vide. Découvreur de l'hydrogène atomique. Prix Nobel de chimie en 1932.;-128,4;128,4 ° Ouest;-35,7;35,7 ° Sud;Sud-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;V-026-M V-022-H2 V-026-H2 V-022-M;91;91;54;54;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
LARMOR;Cratère;;Sir Joseph Larmor;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Physicien;Irlande;irlandais;20;20 ème siècle;Magheragall;1857;Holywood;1942;Travaux sur la mécanique céleste, l'électrodynamique, les champs de force, la relativité et la thermodynamique. Auteur de Aether and Matter en 1900.;-179,7;179,7 ° Ouest;32,1;32,1 ° Nord;Nord-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;V-053-M;97;97;57;57;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
LAUE;Cratère;;Max T. F. von Laue;UAI 1991 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Physicien;Allemagne;allemand;20;20 ème siècle;Pfaffendorf;1879;Berlin;1960;Découvreur de la diffraction des rayons X en 1912. Travaux sur la relativité. Directeur de l'Institut de physique de Berlin en 1919.Prix Nobel en 1914. ;-96,7;96,7 ° Ouest;28;28 ° Nord;Nord-Ouest;;VIII;Röntgen;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;IV-196-H3;87;87;51;51;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Formation circulaire située dans la zone des librations.;;;;1;Formation difficile ou peu intéressante;14;Pleine Lune;6 jours après le Dernier Quartier;30;Jumelles x10;Lunette 50 mm
LAURITSEN;Cratère;;M. Lauritsen;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Physicien;Etats-Unis;américain;20;20 ème siècle;??;1892;??;1968;??;96,1;96,1 ° Est;-27,6;27,6 ° Sud;Sud-Est;;IV;Curie;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;52;52;31;31;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Formation circulaire située dans la zone des librations.;;;;1;Formation difficile ou peu intéressante;1;2 jours après la Nouvelle Lune;1 jour après la Pleine Lune;30;Jumelles x10;Lunette 50 mm
LEAVITT;Cratère;;Henrietta S. Leavitt;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronome;Etats-Unis;américain;20;20 ème siècle;Lancaster;1868;Cambridge;1921;Auteur d'une loi sur la magnitude absolue des étoiles variables céphéïdes en fonction de leur période de variation. ;-139,3;139,3 ° Ouest;-44,8;44,8 ° Sud;Sud-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;V-026-H1 V-030-H1;66;66;39;39;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
LEBEDEV;Cratère;;Petr Nikolaïevitch Lebedev;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Physicien;Russie;russe;20;20 ème siècle;Moscou;1866;Moscou;1912;Professeur à l'Université de Moscou en 1900.Travaux sur les diélectriques, le magnétisme terrestre et la pression de radiation en 1901. ;107,8;107,8 ° Est;-47,3;47,3 ° Sud;Sud-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;IV-008-M;102;102;60;60;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
