NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURY;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
MCADIE;Cráter;;Alexander George McAdie;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Meteorólogo;U.S.A.;Americano;20;Siglo XX;??;1863;??;1943;??;92,1;92,1 ° Este;2,1;2,1 ° Norte;Norte-Este;;III;Mare Marginis;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;45;45;26;26;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;Formación circular situada en la zona de libraciones.;;;;1;Formación de bajo interés o dificultad;1;2 días después de la Luna Nueva;1 día después de la Luna Llena;30;Prismáticos de 10x;Refractor de 50 mm
MCAULIFFE;Cráter;;Sharon Christa McAuliffe;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Profesor;U.S.A.;Americano;20;Siglo XX;??;1948;??;1986;Miembro de la lanzadera Challenger accidentada en 1986.;-148,9;148,9 ° Oeste;-33;33 ° Norte;Norte-Oeste;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;19;19;11;11;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
MCKELLAR;Cráter;;Andrew McKellar;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Astrónomo;Canadá;Canadiense;20;Siglo XX;??;1910;??;1960;??;-170,8;170,8 ° Oeste;-15,7;15,7 ° Sur;Sur-Oeste;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;51;51;30;30;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
MCLAUGHLIN;Cráter;;Dean B. McLaughlin;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Astrónomo;U.S.A.;Americano;20;Siglo XX;??;1901;??;1965;??;-92,9;92,9 ° Oeste;47,1;47,1 ° Norte;Norte-Oeste;;I;Brianchon;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;79;79;46;46;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;Formación circular situada en la zona de libraciones.;;;;1;Formación de bajo interés o dificultad;14;Luna Llena;6 días después del Cuarto Menguante;30;Prismáticos de 10x;Refractor de 50 mm
MCMATH;Cráter;;Francis C. McMath;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Astrónomo;U.S.A.;Americano;20;Siglo XX;??;1867;??;1938;??;-165,6;165,6 ° Oeste;17,3;17,3 ° Norte;Norte-Oeste;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;86;86;51;51;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
MCNAIR;Cráter;;Ronald Erwin McNair;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Astronauta;U.S.A.;Americano;20;Siglo XX;??;1950;??;1986;Miembro de la lanzadera Challenger accidentada en 1986.;-147,3;147,3 ° Oeste;-35,7;35,7 ° Sur;Sur-Oeste;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;29;29;17;17;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
MCNALLY;Cráter;;Paul A. McNally;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Astrónomo;U.S.A.;Americano;20;Siglo XX;??;1890;??;1955;??;-127,2;127,2 ° Oeste;22,6;22,6 ° Norte;Norte-Oeste;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;47;47;28;28;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
MECHNIKOV;Cráter;;Il'ya I. Mechnikov;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Doctor;Rusia;Ruso;20;Siglo XX;??;1845;??;1916;Bacteriólogo instalado en Francia. Premio Nobel.;-149;149 ° Oeste;-11;11 ° Norte;Norte-Oeste;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;I-028-M I-040-H3;60;60;35;35;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
MEES;Cráter;;Charles Edouard Kenneth Mees;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Químico;U.S.A.;Americano;20;Siglo XX;Wellingborough;1882;Honolulu;1960;Inventor de las emulsiones fotográficas sensibles al infrarrojo en 1912.;-96,1;96,1 ° Oeste;13,6;13,6 ° Norte;Norte-Oeste;;VIII;Röntgen;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;IV-196-H2;50;50;29;29;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;Formación circular situada en la zona de libraciones.;;;;1;Formación de bajo interés o dificultad;14;Luna Llena;6 días después del Cuarto Menguante;30;Prismáticos de 10x;Refractor de 50 mm
MEGGERS;Cráter;;William F. Meggers;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Físico;U.S.A.;Americano;20;Siglo XX;??;1888;??;1968;??;123;123 ° Este;24,3;24,3 ° Norte;Norte-Este;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;52;52;31;31;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
MEITNER;Cráter;;Lise;UAI 1979 ?;Desconocido;Desconocido;Desconocido;Físico;Austria;Austriaco;20;Siglo XX;Viena;1878;Cambridge;1968;Descubridor del protactinio con O. Hahn en 1917. Numerosos trabajos sobre transmutación de elementos y fisión del uranio.;112,7;112,7 ° Este;-10,5;10,5 ° Sur;Sur-Este;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;II-196-M I-102-H1;87;87;51;51;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
MELISSA;Cráter;;Melissa;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Nombre femenino;Grecia;Griego;;;;;;;;121,8;121,8 ° Este;8,1;8,1 ° Norte;Norte-Este;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;18;18;11;11;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
MENDEL;Cráter;;Gregor Johann Mendel;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Botánico;Austria;Austriaco;19;Siglo XIX;Heizendorf;1822;Brno;1884;Predicador en 1843. Trabajos sobre hibridación de las plantas. Editor de un famoso documento en 1866. Fundador de la genética.;-109,4;109,4 ° Oeste;-48,8;48,8 ° Sur;Sur-Oeste;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;V-021-M;138;138;81;81;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
MENDELEEV;Cráter;;Dmitrij Ivanovitch Mendeleev;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Químico;Rusia;Ruso;19;Siglo XIX;Tobolsk;1834;San Petersburgo;1907;Numerosos trabajos sobre gases y aire. Autor de un tratado de química en 1868 y de la famosa clasificación periódica de los elementos en 1869.;140,9;140,9 ° Este;5,7;5,7 ° Norte;Norte-Este;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;I-115-M I-117-M I-136-M I-116-M;313;313;184;184;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
MERRILL;Cráter;;Paul W. Merrill;UAI 1979 ?;Desconocido;Desconocido;Desconocido;Astrónomo;U.S.A.;Americano;20;Siglo XX;??;1887;??;1961;??;-116,3;116,3 ° Oeste;75,2;75,2 ° Norte;Norte-Oeste;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;V-006-H3;57;57;34;34;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
MESHCHERSKIY;Cráter;;Ivan V. Meshcherskiy;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Matemático;Rusia;Ruso;20;Siglo XX;??;1859;??;1935;??;125,5;125,5 ° Este;12,2;12,2 ° Norte;Norte-Este;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;65;65;38;38;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
MEZENTSEV;Cráter;;Yurij B. Mezentsev;UAI 1979 ?;Desconocido;Desconocido;Desconocido;Ingeniero;U.R.S.S.;Soviético;20;Siglo XX;??;1929;??;1965;Ideólogo de lanzaderas espaciales.;-128,7;128,7 ° Oeste;72,1;72,1 ° Norte;Norte-Oeste;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;V-025-H3 V-029-M V-006-H3;89;89;52;52;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
MICHELSON;Cráter;;Albert Abraham Michelson;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Físico;U.S.A.;Americano;20;Siglo XX;Strelno;1852;Pasadena;1931;Inventor de un interferómetro. Medida de la velocidad de la luz en diferentes medios. Medida las mareas y la corteza terrestre en 1917. Premio Nobel en 1907.;-120,7;120,7 ° Oeste;7,2;7,2 ° Norte;Norte-Oeste;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;V-024-H1 V-014-M V-022-H3 V-024-M;123;123;72;72;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
MILANKOVIC;Cráter;;Milutin Milankovic;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Astrónomo;Yugoslavia;Yugoslavo;20;Siglo XX;Dalj;1879;Belgrado;1958;Autor de la teoría de la variación climática de acuerdo a los parámetros orbitales de la Tierra 1941.;168,8;168,8 ° Este;77,2;77,2 ° Norte;Norte-Este;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;101;101;59;59;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
MILLIKAN;Cráter;;Robert Andrews Milikan;UAI 1979 ?;Desconocido;Desconocido;Desconocido;Físico;U.S.A.;Americano;20;Siglo XX;Morrison;1868;San Marino;1953;Primera medida del electrón en 1911. Determination de la constante de Planck en 1916. Numerosos trabajos sobre rayos cósmicos. Premio Nobel en 1923.;121,5;121,5 ° Este;46,8;46,8 ° Norte;Norte-Este;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;V-158-M V-181-M V-163-H3 V-163-M;98;98;58;58;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
MILLS;Cráter;;Mark M. Mills;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Físico;U.S.A.;Americano;20;Siglo XX;??;1917;??;1958;??;156;156 ° Este;8,6;8,6 ° Norte;Norte-Este;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;32;32;19;19;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
MILNE;Cráter;;Edward Arthur Milne;UAI 19XX ?;Desconocido;Desconocido;Desconocido;Astrónomo;Reino Unido;Británico;20;Siglo XX;Hull;1896;Dublín;1950;Trabajos sobre termodinámica de estrellas. Descubridor del proceso de variación de las estrellas Cefeidas en 1921. Teoría sobre la expansión del Universo.;112,2;112,2 ° Este;-31,4;31,4 ° Sur;Sur-Este;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;272;272;160;160;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
MILTON;Cráter;;John Milton;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Poeta;Reino Unido;Británico;17;Siglo XVII;Londres;1608;Chalfont St Giles;1674;Autor de poemas filosóficos como 'El paraíso perdido'.;90,9;90,9 ° Este;-1,6;1,6 ° Sur;Sur-Este;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;35;35;21;21;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;Formación circular situada en la zona de libraciones.;;;;1;Formación de bajo interés o dificultad;1;2 días después de la Luna Nueva;1 día después de la Luna Llena;30;Prismáticos de 10x;Refractor de 50 mm
MINEUR;Cráter;;Henri Mineur;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Astrónomo;Francia;Francés;20;Siglo XX;Lille;1899;París;1954;Uno de los fundadores del CNRS y el Observatorio de la Alta Provenza. Creador y director del Instituto Astrofísico de París en 1936. Descubridor de dos clases de Cepheidas en 1945.;-161,3;161,3 ° Oeste;25;25 ° Norte;Norte-Oeste;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;V-039-M;73;73;43;43;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
MINKOWSKI;Cráter;;Hermann Minkowski;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Matemático;Alemania;Alemán;19;Siglo XIX;Kovno;1864;Göttingen;1909;Teoría sobre las formas cuadráticas. Gran Premio de la Academia de las Ciencias en 1882. Explicación de la teoría geométrica de los números en 1896. Concepto de un espacio-tiempo en cuatro dimensiones tomado en cuenta por su pupilo Einstein. ;-146;146 ° Oeste;-56,5;56,5 ° Sur;Sur-Oeste;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;V-026-H1 V-022-H1;113;113;66;66;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
MINNAERT;Cráter;;Marcel Gilles Josef Minnaert;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Astrónomo;Holanda;Holandés;20;Siglo XX;Brujas;1893;Utrecht;1970;Pionero de la astrofísica solar. Fundador del Instituto Astrofísico de Utrecht.;179,6;179,6 ° Este;-67,8;67,8 ° Sur;Sur-Este;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;125;125;74;74;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
MITRA;Cráter;;S. K. Mitra;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Físico;India;Hindú;20;Siglo XX;??;1890;??;1963;??;-154,7;154,7 ° Oeste;18;18 ° Norte;Norte-Oeste;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;92;92;54;54;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
MOBIUS;Cráter;;August F. Möbius;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Astrónomo;Alemania;Alemán;19;Siglo XIX;??;1790;??;1868;??;101,2;101,2 ° Este;15,8;15,8 ° Norte;Norte-Este;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;50;50;29;29;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;Formación circular situada en la zona de libraciones.;;;;1;Formación de bajo interés o dificultad;1;2 días después de la Luna Nueva;1 día después de la Luna Llena;30;Prismáticos de 10x;Refractor de 50 mm
MOHOROVICIC;Cráter;;Andrija Mohorovicic;UAI 1976 ?;Desconocido;Desconocido;Desconocido;Geólogo;Yugoslavia;Yugoslavo;20;Siglo XX;Volosko;1857;Zagreb;1936;Trabajos sobre movimiento de las ondas sísmicas. Descubridor en 1909 de la diferencia entre la corteza terrestre y el interior llamada moho desde entonces.;-165;165 ° Oeste;-19;19 ° Norte;Norte-Oeste;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;I-036-M I-028-M I-039-M;51;51;30;30;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
MOISEEV;Cráter;;Nikolaj D. Moiseev;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Astrónomo;U.R.S.S.;Soviético;20;Siglo XX;??;1902;??;1955;??;103,3;103,3 ° Este;9,5;9,5 ° Norte;Norte-Este;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;59;59;35;35;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
MOISSAN;Cráter;;Ferdinand Frederic Henri;UAI 1973 ?;Desconocido;Desconocido;Desconocido;Químico;Francia;Francés;19;Siglo XIX;París;1852;París;1907;Pionero en el uso de las altas y bajas temperaturas. Preparación del titanio, cromo, silicio, boro y algunos carburos. Premio Nobel en 1906.;137,4;137,4 ° Este;4,8;4,8 ° Norte;Norte-Este;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;21;21;12;12;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
MONS ANDRE;Montaña;;Segundo nombre francés;UAI 1976 ?;Desconocido;Desconocido;Desconocido;;;;;;;;;;;120,6;120,6 ° Este;5,2;5,2 ° Norte;Norte-Este;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;10;10;6;6;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
MONS ARDESHIR;Montaña;;Ardeshir;UAI 1976 ?;Desconocido;Desconocido;Desconocido;Rey;Iran;iranien;??;??;??;??;??;??;??;121;121,0 ° Este;5;5,0 ° Norte;Norte-Este;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;8;8;4;4;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
MONS DIETER;Montaña;;Segundo nombre alemán;UAI 1976 ?;Desconocido;Desconocido;Desconocido;;;;;;;;;;;120,2;120,2 ° Este;5;5,0 ° Norte;Norte-Este;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;20;20;12;12;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
MONS DILIP;Montaña;;Segundo nombre hindú;UAI 1976 ?;Desconocido;Desconocido;Desconocido;;;;;;;;;;;120,8;120,8 ° Este;5,6;5,6 ° Norte;Norte-Este;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;2;2;1;1;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
MONS GANAU;Montaña;;Segundo nombre africano;UAI 1976 ?;Desconocido;Desconocido;Desconocido;;;;;;;;;;;120,6;120,6 ° Este;4,8;4,8 ° Norte;Norte-Este;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;14;14;8;8;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
MONTAIGNE;Cráter;;Michel Eyquem de Montaigne;UAI 1961 ?;Desconocido;Desconocido;Desconocido;Filósofo;Francia;Francés;16;Siglo XVI;Montaigne;1533;Montaigne;1592;"Autor de the ""Essais"" y de a ""Journal"".";99,5;99,5 ° Este;-4,4;4,4 ° Sur;Sur-Este;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;55;55;32;32;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;Formación circular situada en la zona de libraciones.;;;;1;Formación de bajo interés o dificultad;1;2 días después de la Luna Nueva;1 día después de la Luna Llena;30;Prismáticos de 10x;Refractor de 50 mm
MONTGOLFIER;Cráter;;Jacques Etienne de Montgolfier;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Inventor;Francia;Francés;18;Siglo XVIII;Vidalon les Annonay;1745;Serrières;1799;Con su hermano Joseph (1740 /1810) ideólogo de un globo aerostático. Primer vuelo el 4 de Junio de 1783. Segundo vuelo con animales el 19 de Septiembre en presencia del Rey Louis XVI. Director del Conservatorio de las Artes. Miembro la Academia francesa de las Ciencias 1796.;-159,8;159,8 ° Oeste;47,3;47,3 ° Norte;Norte-Oeste;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;V-039-M;88;88;52;52;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
MOORE;Cráter;;Joseph H. Moore;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Astrónomo;U.S.A.;Americano;20;Siglo XX;??;1878;??;1949;??;-177,5;177,5 ° Oeste;37,4;37,4 ° Norte;Norte-Oeste;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;54;54;32;32;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
MOROZOV;Cráter;;Nikolaj A. Morozov;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Naturalista;U.R.S.S.;Soviético;20;Siglo XX;??;1854;??;1945;??;127,4;127,4 ° Este;5;5 ° Norte;Norte-Este;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;42;42;25;25;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
MORSE;Cráter;;Samuel F. B. Morse;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Inventor;U.S.A.;Americano;19;Siglo XIX;Charlestown;1791;Nueva York;1872;Inventor del telégrafo eléctrico en 1832. Primera línea entre Washington y Baltimore el 24 de Mayo de 1844. Inventor del código binario de letras.;-175,1;175,1 ° Oeste;22,1;22,1 ° Norte;Norte-Oeste;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;77;77;45;45;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
MOSELEY;Cráter;;Henry Gwyn Jeffreys Moseley;UAI 1976 ?;Desconocido;Desconocido;Desconocido;Físico;Reino Unido;Británico;20;Siglo XX;Weymouth;1887;Gallipoli;1915;Descubridor de la relación entre el número atómico de los elementos y la carga de sus núcleos en 1913. Fallecido en la batalla de Gallipoli durante la Primera Guerra Mundial.;-90,1;90,1 ° Oeste;20,9;20,9 ° Norte;Norte-Oeste;;VIII;Röntgen;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;IV-196-H3 IV-188-H3;90;90;53;53;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;Formación circular situada en la zona de libraciones.;;;;1;Formación de bajo interés o dificultad;14;Luna Llena;6 días después del Cuarto Menguante;30;Prismáticos de 10x;Refractor de 50 mm
MOULTON;Cráter;;Forest R. Moulton;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Astrónomo;U.S.A.;Americano;20;Siglo XX;??;1872;??;1952;??;97,2;97,2 ° Este;-61,1;61,1 ° Sur;Sur-Este;;V;Hale;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;IV-005-H3;49;49;29;29;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;Formación circular situada en la zona de libraciones.;;;;1;Formación de bajo interés o dificultad;1;2 días después de la Luna Nueva;1 día después de la Luna Llena;30;Prismáticos de 10x;Refractor de 50 mm
MURAKAMI;Cráter;;H. Murakami;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Astrónomo;Japón;Japonés;20;Siglo XX;??;1872;??;1947;??;-140,5;140,5 ° Oeste;-23,3;23,3 ° Sur;Sur-Oeste;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;45;45;26;26;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
NAGAOKA;Cráter;;Hantaro Nagaoka;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Físico;Japón;Japonés;20;Siglo XX;Omura;1865;??;1950;Principal responsable de los estudios físicos japoneses.;154;154 ° Este;19,4;19,4 ° Norte;Norte-Este;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;46;46;27;27;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
