NAME;LUN;NAME_TYPE;IAU_TYPE;TYPE;SUBTYPE;PROCESS;PERIOD;PERIOD_SOURCE;GEOLOGY;NAME_DETAIL;NAME_ORIGIN;IAU_APPROVAL;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURY_N;CENTURY_C;BIRTH_PLACE;BIRTH_DATE;DEATH_PLACE;DEATH_DATE;FACTS;LONGI_N;LONGI_N_360;LONGI_C;LATI_N;LATI_C;FACE;QUADRANT;AREA;LENGTH_KM;WIDE_KM;LENGTH_ARCSEC;HEIGHT_M;RAPPORT;GENERAL_1;GENERAL_2;SLOPES;WALLS;FLOOR;INTEREST_N;INTEREST_C;LUNATION;MOONDAY_S;MOONDAY_M;DIAM_INST;TH_INSTRU;PR_INSTRU;
MITCHELL;AA497696N201710;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Imbrian (From -3.85 billions years to -3.2 billions years) ?;Period source not found;No details;Marie Mitchell;Birt / Lee (1865);01/01/1935 00:00:00;Not named;Not named;Not named;Astronomer;U. S. A.;American;19;19 th century;?;1818;?;1899;?;20.170995;20.170995;20 ° 10 ' East;49.76958;49.770° North;Nearside;North-East;Moon North limb;30;30;16;2967;0.092295599601414;Circular formation. Overlaps the East slope of Aristoteles.;;Fairly steep slopes.;Slightly high walls with deformed craterlet to the South.;Tormented floor. Line of crest.;3;Very interesting formation;5;5 days after New Moon;4 days after Full Moon;30;10x binoculars;50 mm refractor;
MITRA;AA177644N2053486;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Pre-Nectarian (From -4.55 billions years to -3.92 billions years);Wilhelms and Byrne / 2009;No details;S. K. Mitra;IAU 1970 ?;01/01/1970 00:00:00;Not known;Not known;Not known;physicist;India;Indian;20;20 th century;?;1890;?;1963;?;-154.651409;205.348591;154 ° 39 ' West;17.764402;17.764° North;Farside;North-West;Not determined;92;92;48.5;4138;0.04262204241806;Not observable;;Not described in this VMA version.;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable;
MOBIUS;AA156323N1011308;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Formation period not found;Period source not found;No details;August F. Möbius;IAU 1970 ?;01/01/1970 00:00:00;Not known;Not known;Not known;astronomer;Germany;German;19;19 th century;?;1790;?;1868;?;101.130753;101.130753;101 ° 8 ' East;15.632317;15.632° North;Librations zone;North-East;Not determined;50;50;24.4;3367;0.068786205634493;Circular formation situated in the zone of librations.;;Not easily observable.;;;1;Low interest or difficult formation;1;2 days after New Moon;1 day after Full Moon;30;x10 binoculars;50 mm refractor;
MOHOROVICIC;AA187305S1951683;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Nectarian (From -3.92 billions years to -3.85 billions years);Byrne / Personal communication / 2008;No details;Andrija Mohorovicic;IAU 1976 ?;01/01/1970 00:00:00;Not known;Not known;Not known;geologist;Yugoslavia;Yugoslavian;20;20 th century;Volosko;1857;Zagreb;1936;Works on sismic waves motion. Discoverer on 1909 of a difference between terrestrial crust and internal earth called moho since then.;-164.831727;195.168273;164 ° 50 ' West;-18.730478;18.730° South;Farside;North-West;Not determined;51;51;24.9;3388;0.067811392616261;Not observable;;Not described in this VMA version.;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable;
MOIGNO;AA662667N287952;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Formation period not found;Period source not found;No details;François Napoléon Marie Moigno;Birt / Lee (1865);01/01/1935 00:00:00;Not named;Not named;Not named;Mathematician and physicist;France;French;19;19 th century;Guéméné sur Scorff;1804;Saint Denis;1884;Distributed theories of Cauchy. Founded the review 'The Cosmos' in 1852.;28.795152;28.795152;28 ° 48 ' East;66.266686;66.267° North;Nearside;North-East;Moon North limb;36;36;18.4;3091;0.083931599029317;Circular formation.;;Fairly steep slopes.;Slightly high walls.;Flat floor filled with somber lava. Internal crater to the South-East.;2;Pretty interesting formation;5;5 days after New Moon;4 days after Full Moon;30;10x binoculars;50 mm refractor;
MOISEEV;AA94412N1032562;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Eratosthenian (From -3.2 billions years to -1.1 billions years);Wilhelms / 1987 / Geological history of the Moon table;No details;Nikolaj D. Moiseev;IAU 1970 ?;01/01/1970 00:00:00;Not known;Not known;Not known;astronomer;USSR;Soviet;20;20 th century;?;1902;?;1955;?;103.256173;103.256173;103 ° 15 ' East;9.441167;9.441° North;Farside;North-East;Not determined;59;59;30.7;3608;0.058611221092507;Not observable;;Not described in this VMA version.;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable;
MOISSAN;AA47708N1374486;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Formation period not found;Period source not found;No details;Ferdinand Frederic Henri;IAU 1973 ?;01/01/1976 00:00:00;Not known;Not known;Not known;chemist;France;French;19;19 th century;Paris;1852;Paris;1907;Pioneer of use of high and low temperatures. Preparation of titan chromium silicium bora and several carbides. Nobel laureate on 1906.;137.448555;137.448555;137 ° 27 ' East;4.77079;4.771° North;Farside;North-East;Not determined;21;21;11.2;2663;0.11863156870848;Not observable;;Not described in this VMA version.;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable;
MOLTKE;AA5928S241642;IAU Named formation;AA;Crater;Craterlet;Meteoritic impact;Copernician (From -1.1 billions years to present days) ?;Period source not found;No details;Earl Helmuth Karl von Molkte;Krieger / K?nig (1912);01/01/1935 00:00:00;Not named;Not named;Not named;Officer;Germany;German;19;19 th century;Parchim;1800;Berlin;1891;Feld-marechal in 1871. Military tactics inventor which were used during the war of 1870. Co-author of a lunar map with Schmidt.;24.164222;24.164222;24 ° 10 ' East;-0.592821;0.593° South;Nearside;South-East;Theophilus crater North-West region;7;7;3;1227;0.199592777838463;Circular formation with bowl shape and surrounded of bright rays.;;Slightly steep slopes bearing Rimae Hypatia to the South.;Fairly high walls.;Rounded floor.;2;Pretty interesting formation;5;5 days after New Moon;4 days after Full Moon;50;50 mm refractor;100 mm refractor;
MONGE;AA192410S475443;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Upper Imbrian (From -3.8 billions years to -3.2 billions years);Wilhelms / 1987 / Geological history of the Moon table;No details;Gaspard Monge Earl of Péluse;Schmidt (1878);01/01/1935 00:00:00;Not named;Not named;Not named;Mathematician;France;French;18;18 th century;Beaune;1746;Paris;1818;Specialist of the descriptive geometry. Creator of the differential geometry. Works on the theory of surfaces. Founder of Normal School and Polytechnic School.;47.544343;47.544343;47 ° 33 ' East;-19.240952;19.241° South;Nearside;South-East;Mare Fecunditatis South edge;36;36;18.3;3085;0.08429993115981;Damaged circular formation situated on the South-West bank of Mare Fecunditatis.;;Fairly steep slopes riddled of craters to the South-East.;Slightly high walls complex to the South-East.;Flat floor to the West and tormented to the East. Small central relief;2;Pretty interesting formation;4;4 days after New Moon;3 days after Full Moon;30;10x binoculars;50 mm refractor;
MONIRA;AA125432S3582673;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Formation period not found;Period source not found;No details;Arabic female name.;IAU;01/01/1976 00:00:00;Not known;Not known;Not known;?;Asia;Arabian;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;-1.732734;358.267266;1 ° 44 ' West;-12.543166;12.543° North;Nearside;South-West;Ptolemaeus;1.07297;1.07297;0.5;209;0.196132655822517;Crater-pit on located on a part of Rimae Alphonsus.;;No slopes.;Slightly steep slopes.;Rounded and elongated floor.;99;Not evaluated in this VMA version;8;One day after First Quarter;Last Quarter;999;Not observable;Not observable;
MONS AGNES;MO186619N53405;IAU Named formation;MO;Mons montes;Not determined;Meteoritic impact ?;Formation period not found;Period source not found;No details;Greek female name.;IAU;01/01/1979 00:00:00;Not known;Not known;Not known;?;Europe;Greek;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;5.340451;5.340451;5 ° 20 ' East;18.661866;18.662° North;Nearside;North-East;Montes Apenninus;0;0;0;Unknown height.;Unknown height. Impossible calculation.;Most elevated mound inside IMP Ina.;;Not described in this VMA version.;;;99;Not evaluated in this VMA version;7;First Quarter;Six days after Full Moon;999;Not observable;Not observable;
MONS AMPERE;MO193239N3562905;IAU Named formation;MO;Mountain;Not determined;Meteoritic impact ?;Imbrian (From -3.85 billions years to -3.2 billions years) ?;Period source not found;No details;Mount Ampere (André Marie Ampère);Schmidt (1878);01/01/1935 00:00:00;Not named;Not named;Not named;Physicist;France;French;19;19 th century;Lyon;1775;Marseille;1836;Member of the french Academy of Sciences in 1814. Author of the theory of the electromagnetism in 1820. Creator of the electrodynamics. Inventor of the galvanometer and an electrical telegraph.;-3.709522;356.290478;3 ° 43 ' West;19.323887;19.324° North;Nearside;North-West;Montes Apenninus region;30;30;0;Unknown height.;Unknown height. Impossible calculation.;Summit of Montes Apenninus situated to the West of Mons Huygens.;;Not described in this VMA version.;;;2;Pretty interesting formation;7;First Quarter;6 days after Full Moon;30;10x binoculars;50 mm refractor;
MONS ANDRE;MO51827N1205603;IAU Named formation;MO;Mountain;Not determined;Meteoritic impact ?;Formation period not found;Period source not found;No details;French second name;IAU 1976 ?;01/01/1976 00:00:00;Not known;Not known;Not known;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;120.560324;120.560324;120 ° 34 ' East;5.182726;5.183° North;Farside;North-East;Not determined;10;10;0;Unknown height.;Unknown height. Impossible calculation.;Not observable;;Not described in this VMA version.;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable;
MONS ARDESHIR;MO50259N1210417;IAU Named formation;MO;Mountain;Not determined;Meteoritic impact ?;Formation period not found;Period source not found;No details;Ardeshir;IAU 1976 ?;01/01/1976 00:00:00;Not known;Not known;Not known;Roi;Iran;Iranien;é;;?;?;?;?;?;121.041715;121.041715;121 ° 3 ' East;5.025895;5.026° North;Farside;North-East;Not determined;8;8;0;Unknown height.;Unknown height. Impossible calculation.;Not observable;;Not described in this VMA version.;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable;
MONS ARGAEUS;MO193309N290068;IAU Named formation;MO;Mountain;Not determined;Meteoritic impact ?;Nectarian (From -3.92 billions years to -3.85 billions years) ?;Period source not found;No details;Mount Argaeus;Webb (1860);01/01/1935 00:00:00;Not named;Not named;Not named;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;29.006784;29.006784;29 ° 0 ' East;19.330869;19.331° North;Nearside;North-East;South-East part of Mare Serenitatis;50;20;0;Unknown height.;Unknown height. Impossible calculation.;Oriented West East and lengthened mountain situated near the North rim of Mare Serenitatis. Wears the crater Fabbroni.;;Not described in this VMA version.;;;3;Very interesting formation;5;5 days after New Moon;4 days after Full Moon;30;10x binoculars;50 mm refractor;
MONS BRADLEY;MO217276N3814;IAU Named formation;MO;Mountain range;Not determined;Meteoritic impact ?;Imbrian (From -3.85 billions years to -3.2 billions years) ?;Period source not found;No details;Mount Bradley (James Bradley);?;01/01/1961 00:00:00;Not named;Not named;Not named;Astronomer;England;English;18;18 th century;Sherborne;1692;Chalford;1762;Discovered the aberration of the light in 1727 and the nutation in 1748. Director of the observatory of Greenwich. Royal astronomer in 1742.;0.381368;0.381368;0 ° 23 ' East;21.727631;21.728° North;Nearside;North-East;Montes Apenninus region;30;30;0;Unknown height.;Unknown height. Impossible calculation.;High and South-West North-East oriented summit of Montes Apenninus and situated to the West of Conon.;;Not described in this VMA version.;;;2;Pretty interesting formation;7;First Quarter;6 days after Full Moon;30;10x binoculars;50 mm refractor;
MONS DELISLE;MO294249N3242117;IAU Named formation;MO;Mountain;Not determined;Meteoritic impact ?;Imbrian (From -3.85 billions years to -3.2 billions years) ?;Period source not found;No details;Mount Delisle - Joseph Nicolas Delisle (or Delisle lthe Young);?;01/01/1985 00:00:00;Not named;Not named;Not named;Astronomer;France;French;18;18 th century;Paris;1688;Paris;1768;Member of the french Academy of Sciences in 1714. Inventor of the calculation of the distance of the Sun from passages of Mercury and Venus. Put in place the observatory of St-Petersburg.;-35.788342;324.211658;35 ° 47 ' West;29.424895;29.425° North;Nearside;North-West;Region between Oceanus Procellarum and Mare Imbrium;50;30;0;Unknown height.;Unknown height. Impossible calculation.;Oriented North - South lengthened and isolated mountain.;;Not described in this VMA version.;;;3;Very interesting formation;10;3 days after First Quarter;2 days after Last Quarter;30;10x binoculars;50 mm refractor;
MONS DIETER;MO49967N1202977;IAU Named formation;MO;Mountain;Not determined;Meteoritic impact ?;Formation period not found;Period source not found;No details;German second name;IAU 1976 ?;01/01/1976 00:00:00;Not known;Not known;Not known;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;120.297749;120.297749;120 ° 18 ' East;4.996697;4.997° North;Farside;North-East;Not determined;20;20;0;Unknown height.;Unknown height. Impossible calculation.;Not observable;;Not described in this VMA version.;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable;
MONS DILIP;MO55826N1208666;IAU Named formation;MO;Mountain;Not determined;Meteoritic impact ?;Formation period not found;Period source not found;No details;Indian second name;IAU 1976 ?;01/01/1976 00:00:00;Not known;Not known;Not known;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;120.866579;120.866579;120 ° 52 ' East;5.582619;5.583° North;Farside;North-East;Not determined;2;2;0;Unknown height.;Unknown height. Impossible calculation.;Not observable;;Not described in this VMA version.;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable;
MONS ESAM;MO146081N357057;IAU Named formation;MO;Mountain;Not determined;Meteoritic impact ?;Imbrian (From -3.85 billions years to -3.2 billions years) ?;Period source not found;No details;Mount Esam;?;01/01/1979 00:00:00;Not named;Not named;Not named;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;35.705658;35.705658;35 ° 42 ' East;14.608144;14.608° North;Nearside;North-East;North of Mare Tranquillitatis region;25;5;0;Unknown height.;Unknown height. Impossible calculation.;Lengthened hill to the North of Mare Serenitatis.;;Not described in this VMA version.;;;1;Low interest or difficult formation;5;5 days after New Moon;4 days after Full Moon;50;50 mm refractor;100 mm refractor;
MONS GANAU;MO47919N1205888;IAU Named formation;MO;Mountain;Not determined;Meteoritic impact ?;Formation period not found;Period source not found;No details;African second name;IAU 1976 ?;01/01/1976 00:00:00;Not known;Not known;Not known;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;120.588814;120.588814;120 ° 35 ' East;4.791928;4.792° North;Farside;North-East;Not determined;14;14;0;Unknown height.;Unknown height. Impossible calculation.;Not observable;;Not described in this VMA version.;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable;
MONS GRUITHUISEN DELTA;TH360678N3204101;IAU Named formation;MO;Mountain;Not determined;Meteoritic impact ?;Imbrian (From -3.85 billions years to -3.2 billions years) ?;Period source not found;No details;Mount Gruithuisen Delta (Franz von Gruithuisen);?;01/01/1976 00:00:00;Not named;Not named;Not named;Astronomer and naturalist;Germany;German;19;19 th century;Haltenberg;1774;?;1852;Observer of the Moon believing it resided. Author of the theory of the origin meteoritic origin of lunar craters in 1840.;-39.589859;320.410141;39 ° 35 ' West;36.067817;36.068° North;Nearside;North-West;Noth part of Oceanus Procellarum;20;20;0;Unknown height.;Unknown height. Impossible calculation.;Bright isolated mountain situated beside the dome Gruithuisen Gamma.;;Not described in this VMA version.;;;2;Pretty interesting formation;10;3 days after First Quarter;2 days after Last Quarter;30;10x binoculars;50 mm refractor;
MONS GRUITHUISEN GAMMA;TH365585N3192787;IAU Named formation;MO;Dome;Not determined;Extrusive volcanism;Imbrian (From -3.85 billions years to -3.2 billions years) ?;Period source not found;No details;Mount Gruithuisen Gamma (Franz von Gruithuisen);?;01/01/1976 00:00:00;Not named;Not named;Not named;Astronomer and naturalist;Germany;German;19;19 th century;Haltenberg;1774;?;1852;Observer of the Moon believing it resided. Author of the theory of the origin meteoritic origin of lunar craters in 1840.;-40.721285;319.278715;40 ° 43 ' West;36.558484;36.558° North;Nearside;North-West;Noth part of Oceanus Procellarum;20;20;0;Unknown height.;Unknown height. Impossible calculation.;High volcanic dome of circular basis with summit crater of 900 m of diameter.;;Not described in this VMA version.;;;4;Exceptional formation;10;3 days after First Quarter;2 days after Last Quarter;30;10x binoculars;50 mm refractor;
MONS HADLEY;MO266948N41183;IAU Named formation;MO;Mountain;Not determined;Meteoritic impact ?;Imbrian (From -3.85 billions years to -3.2 billions years) ?;Period source not found;No details;Mount Hadley (John Hadley);Schröter (1802);01/01/1935 00:00:00;Not named;Not named;Not named;Mathematician and physicist;England;English;18;18 th century;Hertfordshire;1682;East Barnet;1744;Astronomical instruments manufacturer. Inventor of the quadrant with reflection. Member of the Royal Society in 1717;4.118328;4.118328;4 ° 7 ' East;26.694823;26.695° North;Nearside;North-East;Montes Apenninus region;25;25;0;Unknown height.;Unknown height. Impossible calculation.;Northern mountain of Apennins. Situated near the place of alunissage of the Apollo 15 mission.;;Not described in this VMA version.;;;4;Exceptional formation;7;First Quarter;6 days after Full Moon;30;10x binoculars;50 mm refractor;
MONS HADLEY DELTA;MO257230N37065;IAU Named formation;MO;Mountain;Not determined;Meteoritic impact ?;Imbrian (From -3.85 billions years to -3.2 billions years) ?;Period source not found;No details;Mount Hadley delta - Mont Hadley (John Hadley);?;01/01/1935 00:00:00;Not named;Not named;Not named;Mathematician and physicist;England;English;18;18 th century;Hertfordshire;1682;East Barnet;1744;Astronomical instruments manufacturer. Inventor of the quadrant with reflection. Member of the Royal Society in 1717;3.706509;3.706509;3 ° 42 ' East;25.723003;25.723° North;Nearside;North-East;Montes Apenninus region;20;20;0;Unknown height.;Unknown height. Impossible calculation.;Summit of Montes Apenninus situated South of the landing point of of the Apollo 15 mission.;;Not described in this VMA version.;;;2;Pretty interesting formation;7;First Quarter;6 days after Full Moon;30;10x binoculars;50 mm refractor;
MONS HANSTEEN;MO121948S3097852;IAU Named formation;MO;Mountain;Not determined;Meteoritic impact ?;Imbrian (From -3.85 billions years to -3.2 billions years) ?;Period source not found;No details;Mount Hansteen (Christopher Hansteen);?;01/01/1976 00:00:00;Not named;Not named;Not named;Astronomer and geophysicist;Norway;Norwegian;18;18 th century;Oslo;1784;Oslo;1873;Discovers variations of the terrestrial magnetic field in 1821. Founder of an observatory in Oslo in 1833. Supervisor of works of triangulation of Norway.;-50.214802;309.785198;50 ° 13 ' West;-12.194833;12.195° South;Nearside;South-West;South-West part of Oceanus Procellarum;30;30;0;Unknown height.;Unknown height. Impossible calculation.;brilliant and isolated Mountain with triangular shape situated between Hansteen and Billy.;;Not described in this VMA version.;;;3;Very interesting formation;11;4 days after First Quarter;3 days after Last Quarter;30;10x binoculars;50 mm refractor;
MONS HENG;MO425600N3078800;IAU Named formation;MO;Mountain;Not determined;Meteoritic impact ?;Formation period not found;Period source not found;No details;Mons Heng;IAU 2021;19/05/2021 00:00:00;Not known;Not known;Not known;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Named from the terrestrial mountain Mont Heng in the Hunan province in China.;-52.12;307.88;52 ° 7 ' West;42.56;42 ° 34 ' North;Nearside;North-West;North-West Moon limb;10.6;4.5;5.3;Unknown height.;Unknown height. Impossible calculation.;Elongated North-South mountain emerging from Oceanus Procellarum.;;Fairly steep slopes.;;;3;Interesting formation;5;Five days after First Quarter;Four days after Last Quarter;50;50 mm refractor;100 mm telescope;
MONS HERODOTUS;MO275015N3070643;IAU Named formation;MO;Mons montes;Not determined;Meteoritic impact ?;Formation period not found;Period source not found;No details;Named from nearby crater.;IAU;01/01/1976 00:00:00;Not known;Not known;Not known;historian;Europe;Greek;-4;4 th century BC;Halicarnasse;484 BC;Thourioi;420 BC; Large traveler. Lived in Athens. Author of the 'Histories' in 9 volumes.;-52.935687;307.064313;52 ° 56 ' West;27.501486;27.501° North;Nearside;North-West;Seleucus;6.76537;6.76537;0;Unknown height.;Unknown height. Impossible calculation.;Isolated small mountain on the North of Herodotus.;;Fairly steep slopes.;;Sharp summit.;99;Not evaluated in this VMA version;12;Five days after First Quarter;Four days after Last Quarter;100;100 mm telescope;200 mm telescope;
MONS HUA;MO457100N3077400;IAU Named formation;MO;Mountain;Not determined;Meteoritic impact ?;Formation period not found;Period source not found;No details;Mons Hua;IAU 2021;19/05/2021 00:00:00;Not known;Not known;Not known;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Named from the terrestrial mountain Mont Hua in the Shaanxi province in China.;-52.26;307.74;52 ° 16 ' West;45.71;45 ° 43 ' North;Nearside;North-West; Moon North-West;65;65;32;Unknown height.;Unknown height. Impossible calculation.;Mountain emerging from Oceanus Procellarum. Numerous craterlets. Possible volcanic vent on the South.;;Not described in this VMA version.;;;3;Interesting formation;5;Five days after First Quarter;Four days after Last Quarter;50;50 mm refractor;100 mm telescope;
MONS HUYGENS;MO199188N3571429;IAU Named formation;MO;Mountain range;Not determined;Meteoritic impact ?;Imbrian (From -3.85 billions years to -3.2 billions years) ?;Period source not found;No details;Mount Huygens (Christian Huygens);Schröter (1802);01/01/1961 00:00:00;Not named;Not named;Not named;Mathematician and astronomer;Netherlands;Dutch;17;17 th century;La Haye;1629;La Haye;1695;Numerous works in mathematical and physical. Discoverer of the ring of Saturn and its satellite Titan in 1655. First hypothesis on the nature of stars and Sun. Member of the Royal Society in 1663.;-2.857097;357.142903;2 ° 51 ' West;19.918848;19.919° North;Nearside;North-West;Montes Apenninus region;40;40;0;Unknown height.;Unknown height. Impossible calculation.;Higher mountain of Montes Apenninus.;;Not described in this VMA version.;;;2;Pretty interesting formation;7;First Quarter;6 days after Full Moon;30;10x binoculars;50 mm refractor;
MONS LA HIRE;MO276612N3344947;IAU Named formation;MO;Mountain;Not determined;Meteoritic impact ?;Imbrian (From -3.85 billions years to -3.2 billions years) ?;Period source not found;No details;Mount La Hire (Philippe de la Hire);Schröter (1802);01/01/1935 00:00:00;Not named;Not named;Not named;Mathematician and astronomer;France;French;17;17 th century;Paris;1640;Paris;1718;Promoter of the first meridian refractor of the Observatory of Paris. General description method of the conical. Author of a 'Memory on the epicycloids' in 1694. Member of the french Academy of Sciences in 1678.;-25.505348;334.494652;25 ° 30 ' West;27.661248;27.661° North;Nearside;North-West;South part of Mare Imbrium;20;10;0;Unknown height.;Unknown height. Impossible calculation.;Isolated mountain chain oriented West East. Craters on two summits.;;Not described in this VMA version.;;;4;Exceptional formation;9;2 days after First Quarter;1 day after Last Quarter;50;50 mm refractor;100 mm refractor;
MONS LATREILLE;MO184700N619200;IAU Named formation;MO;Mountain;Not determined;Extrusive volcanism ?;Formation period not found;Period source not found;No details;Mons Latreille;IAU 2021;19/05/2021 00:00:00;Not known;Not known;Not known;Entomologist;France;French;19;19 th century;Brive la Gaillarde;1762;Paris;1833;Named Prince of entomology. Author of the arthropods volume in le Règne Animal by Georges Cuvier. Separated amphibians versus reptiles. Founder of the Société entomologique de France with Bory de Saint-Vincent on 1832.;61.92;61.92;61 ° 55 ' East;18.47;18 ° 28 ' North;Nearside;North-East;Dans Mare Crisium;6.4;6.4;3.2;Unknown height.;Unknown height. Impossible calculation.;Mountain emerging from Mare Crisium. Damaged crater on the South slope. Possible volvanic vent. Dark halo on the East.;;Not described in this VMA version.;;;4;Very interesting formation;3;3 days after New Moon;2 days after Full Moon;100;100 mm telescope;200 mm telescope;
MONS MALAPERT;MO859800S3583300;IAU Named formation;AA;Mountain;Not determined;Meteoritic impact;Formation period not found;Period source not found;No details;Mons Malapert (Charles Malapert);IAU 2024;26/08/2024 00:00:00;Not known;Not known;Not known;Mathematician philosopher and astronomer;Belgium;Belgian;17;17 th century;Mons;1581;Vitoria;1630;Jesuit priest professor of mathematics in Poland and then in the North of France. In correspondence with Mersenius.;-1.67;358.33;1 ° 40 '  West;-85.98;85 ° 59 ' South;Nearside;South-East;Près du cratère Malapert;67;67;33;Unknown height.;Unknown height. Impossible calculation.;Mountain located between the Malapert and Haworth craters.;;;;;1;Low interest or difficult formation;6;6 days after New Moon;5 days after Full Moon;200;200 mm reflector;400 mm reflector;
MONS MARALDI;MO203388N355012;IAU Named formation;MO;Mountain;Not determined;Meteoritic impact ?;Pre-Imbrian (From -4.55 billions years to -3.85 billions years) ?;Period source not found;No details;Mount Maraldi (Maraldi Y) (Giovanni Domenico Maraldi);?;01/01/1976 00:00:00;Not named;Not named;Not named;Astronomer;Italy;Italian;18;18 th century;Perinaldo;1709;Paris;1788;Assistant of Jacques Cassini. Works on the astronomy of position and the celestial mechanics.;35.501224;35.501224;35 ° 30 ' East;20.338802;20.339° North;Nearside;North-East;North of Mare Tranquillitatis region;15;15;0;Unknown height.;Unknown height. Impossible calculation.;Isolated and rounded mountain situated to the edge of Sinus Amoris and to the North-East of Maraldi.;;Not described in this VMA version.;;;3;Very interesting formation;9;2 days after First Quarter;1 day after Last Quarter;50;50 mm refractor;100 mm refractor;
MONS MORO;MO118387S3401563;IAU Named formation;MO;Mountain;Not determined;Meteoritic impact ?;Imbrian (From -3.85 billions years to -3.2 billions years) ?;Period source not found;No details;Mount Moro (Antonio L. Moro);?;01/01/1976 00:00:00;Not named;Not named;Not named;Naturalist;Italy;Italian;18;18 th century;?;1687;?;1764;?;-19.843708;340.156292;19 ° 51 ' West;-11.838707;11.839° South;Nearside;South-West;South-East of Oceanus Procellarum region;10;3;0;Unknown height.;Unknown height. Impossible calculation.;Lengthened little raised and isolated hills oriented North South.;;Not described in this VMA version.;;;2;Pretty interesting formation;9;2 days after First Quarter;1 day after Last Quarter;100;100 mm reflector;200 mm reflector;
MONS MOUTON;MO846000S310000;IAU Named formation;MO;Mountain;Not determined;Meteoritic impact ?;Formation period not found;Period source not found;No details;Melba Roy Mouton;IAU 2022;13/05/2022 00:00:00;Not known;Not known;Not known;Mathematician;USA;American;20;20 th century;Fairfax;1929;Silver Spring;1990;Chef programmeuse au Goddard Space Flight Center. Calcul des trajectoires des premiers satellites US.;31;31;31 ° 0 ' East;-84.6;84 ° 36 ' South;Nearside;South-East;Région du Pôle Sud;130;30;65;Unknown height.;Unknown height. Impossible calculation.;Mountain chain North of Malapert. Composed by the reunion of several craters slopes.;;Not described in this VMA version.;;;1;Low interest or difficult formation;6;6 days after New Moon;5 days after Full Moon;50;50 mm refractor;100 mm telescope;
MONS PENCK;MO100038S217448;IAU Named formation;MO;Mountain;Not determined;Meteoritic impact ?;Pre-Imbrian (From -4.55 billions years to -3.85 billions years) ?;Period source not found;No details;Mount Penck (Albrecht Penck);?;01/01/1976 00:00:00;Not named;Not named;Not named;Geographer;Germany;German;20;20 th century;Leipzig;1858;Prague;1945;Professor in the University of Vienna then in Berlin. Director of the Institute of oceanography of Berlin. Author of the theory of 4 large glaciations in 1909. Works on several countries.;21.74483;21.74483;21 ° 45 ' East;-10.003783;10.004° South;Nearside;South-East;Theophilus crater North-West region;30;20;0;Unknown height.;Unknown height. Impossible calculation.;Mountainous cape to the South-West of Sinus Asperitatis.;;Seems to form the edge of a high tray.;Bordered to the North by Kant C.;;3;Very interesting formation;5;5 days after New Moon;4 days after Full Moon;30;10x binoculars;50 mm refractor;
