NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURY;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS_UK;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
LANGEVIN;Crater;;Paul Langevin;UAI 1970 ?;Not known;Not known;Not known;physicist;France;French;20;20 th century;Paris;1872;Paris;1946;Works on brownian motion and gaz ionization. Theories on rays, magnetism and thermodynamics. Sound theory used in sonar. Member of French Academy of Sciences on 1934. ;162,7;162,7 ° East;44,3;44,3 ° North;North-East;;No map;;No map or picture;No map or picture;No map or picture;;V-085-M V-079-M V-079-H3;58;58;34;34;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
LANGMUIR;Crater;;Irving Langmuir;UAI 1970 ?;Not known;Not known;Not known;physicist;USA;American;20;20 th century;Brooklyn;1881;Falmouth;1957;Works on high temperatures materials and electrical bulbs.Author of theories about electrochemistry and catalyse. Conceiver of a va cuum pump. Discovere of atomic hydrogen. Nobel laureate in chemistry on 1932.;-128,4;128,4 ° West;-35,7;35,7 ° South;South-West;;No map;;No map or picture;No map or picture;No map or picture;;V-026-M V-022-H2 V-026-H2 V-022-M;91;91;54;54;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
LARMOR;Crater;;Sir Joseph Larmor;UAI 1991 ?;Not known;Not known;Not known;physicist;Ireland;Irish;20;20 th century;Magheragall;1857;Holywood;1942;Works on celestial mecanics, electrodynamism, force fields, relativity and thermodynamics. Author of Aether and Matter on 1900.;-179,7;179,7 ° West;32,1;32,1 ° North;North-West;;No map;;No map or picture;No map or picture;No map or picture;;V-053-M;97;97;57;57;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
LAUE;Crater;;Max T. F. von Laue;UAI 1970 ?;Not known;Not known;Not known;physicist;Germany;German;20;20 th century;Pfaffendorf;1879;Berlin;1960;Discoverer of X rays diffraction on 1912. Works on relativity. Director of Physics Institute of Berlin on 1919. Nobel laureate on 1914. ;-96,7;96,7 ° West;28;28 ° North;North-West;;VIII;Röntgen;No map or picture;No map or picture;No map or picture;;IV-196-H3;87;87;51;51;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Circular formation situated in the zone of librations.;;;;1;Low interest or difficult formation;14;Full Moon;6 days after Last Quarter;30;x10 binoculars;50 mm refractor
LAURITSEN;Crater;;m;UAI 1970 ?;Not known;Not known;Not known;physicist;USA;American;20;20 th century;??;1892;??;1968;??;96,1;96,1 ° East;-27,6;27,6 ° South;South-East;;IV;Curie;No map or picture;No map or picture;No map or picture;;;52;52;31;31;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Circular formation situated in the zone of librations.;;;;1;Low interest or difficult formation;1;2 days after New Moon;1 day after Full Moon;30;x10 binoculars;50 mm refractor
LEAVITT;Crater;;Henrietta S. Leavitt;UAI 1970 ?;Not known;Not known;Not known;astronomer;USA;American;20;20 th century;Lancaster;1868;Cambridge;1921;Auhor of a law about absolute magnitude of variable stars called cepheids according to their variation period. ;-139,3;139,3 ° West;-44,8;44,8 ° South;South-West;;No map;;No map or picture;No map or picture;No map or picture;;V-026-H1 V-030-H1;66;66;39;39;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
LEBEDEV;Crater;;Petr Nikolaïevitch Lebedev;UAI 1970 ?;Not known;Not known;Not known;physicist;Russia;Russian;20;20 th century;Moscow;1866;Moscow;1912;Professor in Moscow University on 1900.Works on dielectrics, terrestrial magnetism and radiation presssure on 1901. ;107,8;107,8 ° East;-47,3;47,3 ° South;South-East;;No map;;No map or picture;No map or picture;No map or picture;;IV-008-M;102;102;60;60;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
LEBEDINSKIY;Crater;;Aleksandr I. Lebedinsky;UAI 1976 ?;Not known;Not known;Not known;astrophysicist;USSR;Soviet;20;20 th century;??;1913;??;1967;??;-164,3;164,3 ° West;8,3;8,3 ° North;North-West;;No map;;No map or picture;No map or picture;No map or picture;;;62;62;36;36;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
LEEUWENHOEK;Crater;;Antonie Van Leewenhoek;UAI 1970 ?;Not known;Not known;Not known;naturalist;Netherlands;Dutch;18;18 th century;Delft;1632;Delft;1723;Microscopes builder. Discoverer of protozoairs, spermatozoïds, and blood globules.;-178,7;178,7 ° West;-29,3;29,3 ° South;South-West;;No map;;No map or picture;No map or picture;No map or picture;;V-065-M II-033-M;125;125;74;74;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
LEIBNIZ;Crater;;Gottfried Wilhelm Leibniz;UAI 1970 ?;Not known;Not known;Not known;philosopher;Germany;German;18;18 th century;Leipzig;1646;Hanovre;1716;Inventor of differential and infinitesimal calculations. Inventor integrals and differential notations and of a computing machine on 1645. Author of Metaphysical lecture on 1686.;179,2;179,2 ° East;-38,3;38,3 ° South;South-East;;No map;;No map or picture;No map or picture;No map or picture;;V-065-M V-043-M;245;245;144;144;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
LEMAITRE;Crater;;Monseigneur Georges Lemaître;UAI 1988 ?;Not known;Not known;Not known;astrophysicist;Belgium;Belgian;20;20 th century;Charleroi;1894;Louvain;1966;Author of a theory about Universe expansion on 1927 and of a theory about a primal atom on 1931.;-149,6;149,6 ° West;-61,2;61,2 ° South;South-West;;No map;;No map or picture;No map or picture;No map or picture;;;91;91;54;54;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
LENTS;Crater;;Heinrich Friedrich Emil Lenz;UAI 1970 ?;Not known;Not known;Not known;physicist;Russia;Russian;19;19 th century;Dorpat;1804;Roma;1865;Auteur d'une loi sur le sens des courants induits en 1833. Etude de l'effet Peltier.;-102,1;102,1 ° West;2,8;2,8 ° North;North-West;;No map;;No map or picture;No map or picture;No map or picture;;;21;21;12;12;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
LEONOV;Crater;;Aleksej A. Leonov;UAI 1973 ?;Not known;Not known;Not known;cosmonaut;USSR;Soviet;20;20 th century;??;1934;Alive;Alive;First man walking in space during 12 minits on the march 18 1966 during Voskhod 2 mission. Pilot in Soyouz 19 mission on july 15 1975 for the historical rendez-vous with american mission Apollo 18.;148,2;148,2 ° East;19;19 ° North;North-East;;No map;;No map or picture;No map or picture;No map or picture;;;33;33;19;19;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
LEUCIPPUS;Crater;;Leucippus;UAI 1988 ?;Not known;Not known;Not known;philosopher;Greece;Greek;-4;4 th century BC;??;??;??;-440;??;-116;116 ° West;29,1;29,1 ° North;North-West;;No map;;No map or picture;No map or picture;No map or picture;;V-015-H3;56;56;33;33;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
LEUSCHNER;Crater;;Armin O. Leuschner;UAI 1970 ?;Not known;Not known;Not known;astronomer;USA;American;20;20 th century;??;1868;??;1953;??;-108,8;108,8 ° West;1,8;1,8 ° North;North-West;;No map;;No map or picture;No map or picture;No map or picture;;;49;49;29;29;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
LEVI-CIVITA;Crater;;Tullio;UAI 1970 ?;Not known;Not known;Not known;mathematician;Italy;Italian;20;20 th century;Padoue;1873;Roma;1941;Numerous works on celestial mechanics, hydrodynamics, electromagnetism and atomic physics. Conceiver with Ricci-Cubastro du absolute  differential calculation.;143,4;143,4 ° East;-23,7;23,7 ° South;South-East;;No map;;No map or picture;No map or picture;No map or picture;;;121;121;71;71;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
LEWIS;Crater;;Gilbert Newton Lewis;UAI 1970 ?;Not known;Not known;Not known;chemist;USA;American;20;20 th century;Weymouth;1875;Berkeley;1946;"Author of the chemical link theory on 1916. Author of a general definition of acids and bases. Conceiver of the word ""photon"" on 1926.";-113,8;113,8 ° West;-18,5;18,5 ° South;South-West;;No map;;No map or picture;No map or picture;No map or picture;;;42;42;25;25;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
LEY;Crater;;Willy Ley;UAI 19XX ?;Not known;Not known;Not known;engineer;USA;American;20;20 th century;??;1906;??;1969;Werner von Braun' collaborator.;154,9;154,9 ° East;42,2;42,2 ° North;North-East;;No map;;No map or picture;No map or picture;No map or picture;;;79;79;46;46;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
LI PO;Crater;;Li Tai Po;UAI 1979 ?;Not known;Not known;Not known;Poet;China;Chinese;8;8 th century;Turkestan;701;Jiangsu;762;Great poet of Tang dynasty.;90,6;90,6 ° East;-3,5;3,5 ° South;South-East;;No map;;No map or picture;No map or picture;No map or picture;;;15;15;9;9;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Circular formation situated in the zone of librations.;;;;1;Low interest or difficult formation;1;2 days after New Moon;1 day after Full Moon;30;x10 binoculars;50 mm refractor
LINDBLAD;Crater;;Bertil Lindblad;UAI 1970 ?;Not known;Not known;Not known;astronomer;Sweden;Swedish;20;20 th century;Orebro;1895;Stockholm;1965;Numerous works on the Sun, spectraes and stars motions. Discoverer with Oort on 1927 of Milky Way rotating motion.;-98,8;98,8 ° West;70,4;70,4 ° North;North-West;;I;Brianchon;No map or picture;No map or picture;No map or picture;;;66;66;39;39;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Circular formation situated in the zone of librations.;;;;1;Low interest or difficult formation;14;Full Moon;6 days after Last Quarter;30;x10 binoculars;50 mm refractor
LIPPMANN;Crater;;Gabriel Lippmann;UAI 1970 ?;Not known;Not known;Not known;physicist;France;French;20;20 th century;Hallerich;1845;On sea;1921;Conceiver of an electrometere. Numerous works on piezoelectricity and electrical batteries. Conceiver of a clor photographic method. Member of Sciences Academy on 1886. Nobel laureate on 1908.;-114,9;114,9 ° West;-56;56 ° North;North-West;;No map;;No map or picture;No map or picture;No map or picture;;V-021-M;160;160;94;94;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
LIPSKIY;Crater;;Yuriy N. Lipskiy;UAI 1970 ?;Not known;Not known;Not known;selenographer;USSR;Soviet;20;20 th century;??;1909;??;1978;??;-179,5;179,5 ° West;-2,2;2,2 ° South;South-West;;No map;;No map or picture;No map or picture;No map or picture;;;80;80;47;47;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
LITKE;Crater;;Fedor P. Litke;UAI 1970 ?;Not known;Not known;Not known;geographer;Russia;Russian;19;19 th century;??;1797;??;1882;??;123,1;123,1 ° East;-16,8;16,8 ° South;South-East;;No map;;No map or picture;No map or picture;No map or picture;;I-136-M;39;39;23;23;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
LOBACHEVSKIY;Crater;;Nikolay Ivanovitch Lobachevskiy;UAI 1970 ?;Not known;Not known;Not known;mathematician;Russia;Russian;19;19 th century;Nijni-Novgorod;1792;Kazan;1856;"Creator of a new geometry caled ""hyperbolic"". Author of ""Pangeometry"" in 1856.";112,6;112,6 ° East;9,9;9,9 ° North;North-East;;No map;;No map or picture;No map or picture;No map or picture;;;84;84;49;49;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
LODYGIN;Crater;;Aleksandr N. Lodygin;UAI 1976 ?;Not known;Not known;Not known;inventor;Russia;Russian;20;20 th century;??;1847;??;1923;??;-146,8;146,8 ° West;-17,7;17,7 ° South;South-West;;No map;;No map or picture;No map or picture;No map or picture;;I-028-M;62;62;36;36;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
LOMONOSOV;Crater;;Mikhail Vassilievitch Lomonossov;UAI 19XX ?;Not known;Not known;Not known;physicist;Russia;Russian;18;18 th century;Denissovka;1711;Saint-Petersburg;1765;Professor of physics at Saint Petersburg university. Numerous surveys on air, matter and electricity. Author of a reform of poetical structure.;98;98 ° East;27,3;27,3 ° North;North-East;;III;Mare Marginis;No map or picture;No map or picture;No map or picture;;;92;92;54;54;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Circular formation situated in the librations zone;;;;1;Low interest or difficult formation;1;2 days after New Moon;1 day after Full Moon;30;x10 binoculars;50 mm refractor
LONGFELLOW;Crater;;Henry Wadsworth Longfellow;UAI 1970 ?;Not known;Not known;Not known;Poet;USA;American;19;19 th century;Portland;1807;Cambridge;1882;"Author of ""Evangeline"" in 1847. Influenced by european culture.";91,3;91,3 ° East;-7,5;7,5 ° South;South-East;;No map;;No map or picture;No map or picture;No map or picture;;;35;35;21;21;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Circular formation situated in the zone of librations.;;;;1;Low interest or difficult formation;1;2 days after New Moon;1 day after Full Moon;999;x10 binoculars;50 mm refractor
LORENTZ;Crater;;Hendrik Antoon Lorentz;UAI 1970 ?;Not known;Not known;Not known;physicist;Netherlands;Dutch;20;20 th century;Arnhem;1853;Haarlem;1928;Author of a global theory about the existence of the electron and its effects. Prediction of the Zeeman effect. Author of famous transformation formulas on lenght contraction at relativistic speeds. Nobel laureate in 1902 with Zeeman.;-95,3;95,3 ° West;32,6;32,6 ° North;North-West;;VIII;Röntgen;No map or picture;No map or picture;No map or picture;;;312;312;184;184;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Circular formation situated in the zone of librations.;;;;1;Low interest or difficult formation;14;Full Moon;6 days after Last Quarter;30;x10 binoculars;50 mm refractor
LOVE;Crater;;Augustus Edward Hough;UAI 1970 ?;Not known;Not known;Not known;geophysicist;United Kingdom;British;20;20 th century;Weston-super-Mare;1863;Oxford;1940;Numerous works on plates vibrations and waves propagation in the atmosphere.;129;129 ° East;-6,3;6,3 ° South;South-East;;No map;;No map or picture;No map or picture;No map or picture;;I-136-M I-136-H2;84;84;49;49;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
LOVELACE;Crater;;William R. Lovelace;UAI 1997 ?;Not known;Not known;Not known;doctor;USA;American;20;20 th century;??;1907;??;1965;Specialized in spatial research.;-106,4;106,4 ° West;82,3;82,3 ° North;North-West;;No map;;No map or picture;No map or picture;No map or picture;;;54;54;32;32;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
LOVELL;Crater;;James A Lovell Junior.;UAI 1970 ?;Not known;Not known;Not known;astronaut;USA;American;20;20 th century;??;1928;Alive;Alive;Pilot of Apollo 8 mission around the Moon on december 1968. Commander of Apollo 13 mission on 1972.;-141,9;141,9 ° West;-36,8;36,8 ° South;South-West;;No map;;No map or picture;No map or picture;No map or picture;;;34;34;20;20;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
LOWELL;Crater;;Percival Lowell;UAI 1970 ?;Not known;Not known;Not known;astronomer;USA;American;20;20 th century;Boston;1855;Flagstaff;1916;Planet Mars specialist. Main defender of the channels theory. Benefactor builder of the Flagstaff observatory. Survey on the orbit of an hypothetical transneptunian planet.;-103,1;103,1 ° West;-12,9;12,9 ° South;South-West;;No map;;No map or picture;No map or picture;No map or picture;;V-015-H1;66;66;39;39;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
LUCRETIUS;Crater;;Titus C. Lucrecius;UAI 1979 ?;Not known;Not known;Not known;philosopher;Rome;Roman;-1;1st century BC;??;-95;??;-55;??;-120,8;120,8 ° West;-8,2;8,2 ° South;South-West;;No map;;No map or picture;No map or picture;No map or picture;;V-022-M V-022-H3;63;63;37;37;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
LUDWIG;Crater;;Carl Friedrich Wilhelm Ludwig;UAI 1970 ?;Not known;Not known;Not known;physiologist;Germany;German;19;19 th century;Witzenhausen;1816;Leipzig;1895;Numerous surveys on the blood, the lymph, the urine and the heart. development of experimental measures means in physiology.;97,4;97,4 ° East;-7,7;7,7 ° South;South-East;;IV;Curie;No map or picture;No map or picture;No map or picture;;;23;23;14;14;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Circular formation situated in the zone of librations.;;;;1;Low interest or difficult formation;1;2 days after New Moon;1 day after Full Moon;30;x10 binoculars;50 mm refractor
LUNDMARK;Crater;;Knut E. Lundmark;UAI 1970 ?;Not known;Not known;Not known;astronomer;Sweden;Swedish;20;20 th century;??;1889;??;1958;??;152,5;152,5 ° East;-39,7;39,7 ° South;South-East;;No map;;No map or picture;No map or picture;No map or picture;;;106;106;62;62;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
LYMAN;Crater;;Theodore Lyman;UAI 1976 ?;Not known;Not known;Not known;physicist;USA;American;20;20 th century;Boston;1874;Brookline;1954;Surveys about ultraviolet spectroscopy. Discoverer of a special rays series of hydrogen in this domain.;163,6;163,6 ° East;-64,8;64,8 ° South;South-East;;No map;;No map or picture;No map or picture;No map or picture;;;84;84;49;49;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
MACH;Crater;;Ernst Mach;UAI 1961 ?;Not known;Not known;Not known;physicist;Austria;Austrian;19;19 th century;Chirlitz-Turas;1838;Haar;1916;Numerous works in optics, acoustics and sound speed. Author of a general principle about mutual action between two bodies on 1933. ;-149,3;149,3 ° West;18,5;18,5 ° North;North-West;;No map;;No map or picture;No map or picture;No map or picture;;V-031-M IV-051-M V-032-M V-028-M;180;180;106;106;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
MAKSUTOV;Crater;;Dmitrij D. Maksutov;UAI 1970 ?;Not known;Not known;Not known;optician;USSR;Soviet;20;20 th century;??;1896;??;1964;Inventor of a new ctadioptric telescope type.;-168,7;168,7 ° West;-40,5;40,5 ° South;South-West;;No map;;No map or picture;No map or picture;No map or picture;;V-043-M;83;83;49;49;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
MALYY;Crater;;Aleksandr L. Malyy;UAI 1970 ?;Not known;Not known;Not known;engineer;USSR;Soviet;20;20 th century;??;1907;??;1961;Space launchers conceiver.;105,3;105,3 ° East;21,9;21,9 ° North;North-East;;No map;;No map or picture;No map or picture;No map or picture;;;41;41;24;24;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
MANDEL'SHTAM;Crater;;Leonid I. Mandel'shtam;UAI 1970 ?;Not known;Not known;Not known;physicist;USSR;Soviet;20;20 th century;??;1879;??;1944;??;162,4;162,4 ° East;5,4;5,4 ° North;North-East;;No map;;No map or picture;No map or picture;No map or picture;;;197;197;116;116;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
MANN;Crater;;Thomas Mann;UAI 1970 ?;Not known;Not known;Not known;Writer;Germany;German;20;20 th century;Lübeck;1875;Zurich;1955;"Author of numerous novels as ""Death in Venice"", ""The Buddenbrock"". Nobel laureate in 1929.";120,1;120,1 ° East;-23,1;23,1 ° South;South-East;;No map;;No map or picture;No map or picture;No map or picture;;;23;23;14;14;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
MARCI;Crater;;Jan Marek Marci von Kronland (dit Ioannes Marcus);UAI 1970 ?;Not known;Not known;Not known;physicist;Germany;German;17;17 th century;Landskron;1595;Prague;1667;Emperor Ferdinand III 's doctor. Author of a theory about the light.;-167;167 ° West;22,6;22,6 ° North;North-West;;No map;;No map or picture;No map or picture;No map or picture;;;25;25;15;15;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
MARCONI;Crater;;Guglielmo Marconi;UAI 1970 ?;Not known;Not known;Not known;physicist;Italy;Italian;20;20 th century;Bologna;1874;Roma;1937;Discoverer of a wireless telegraph on 1896. Creator of the first radiotelephone on 1914. President of the Royal Academy on 1930. Nobel laureate in 1909 with Braun.;145,1;145,1 ° East;-9,6;9,6 ° South;South-East;;No map;;No map or picture;No map or picture;No map or picture;;I-115-H3 I-116-M I-115-H2 I-115-M;73;73;43;43;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
MARE INGENII;Sea;;Sea of Cleverness;UAI 1970 ?;Not known;Not known;Not known;;;;;;;;;;;163,5;163,5 ° East;-33,7;33,7 ° South;South-East;;No map;;No map or picture;No map or picture;No map or picture;;II-075-M;318;318;187;187;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
MARE MOSCOVIENSE;Sea;;Sea of Moscowy;UAI 1970 ?;Not known;Not known;Not known;;;;;;;;;;;147,9;147,9 ° East;27,3;27,3 ° North;South-East;;No map;;No map or picture;No map or picture;No map or picture;;V-124-M IV-099-M V-085-M V-103-M V-124-H1 V-079-M;277;277;162;162;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
MARIOTTE;Crater;;Abbé Edme Mariotte;UAI 1970 ?;Not known;Not known;Not known;physicist;France;French;17;17 th century;Dijon;1620;Paris;1684;Numerous works on solids, liquids and gases. Author of a law about gases compression on 1676.;-139,1;139,1 ° West;-28,5;28,5 ° South;South-West;;No map;;No map or picture;No map or picture;No map or picture;;V-030-H2;65;65;38;38;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
MAUNDER;Crater;;Edward Walter Maunder;UAI 1970 ?;Not known;Not known;Not known;astronomer;United Kingdom;British;20;20 th century;London;1851;London;1928;Specialist of the Sun and its photography. Discoverer of a lack of sunspots from 1645 to 1715. Founder of the British Astronomcal Association en 1890 with his sister Annie Russell and his brother Thomas.;-93,8;93,8 ° West;-14,6;14,6 ° South;South-West;;VII;Mare Orientale;No map or picture;No map or picture;No map or picture;;IV-195-H2;55;55;32;32;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Circular formation situated in the zone of librations.;;;;1;Low interest or difficult formation;14;Full Moon;6 days after Last Quarter;30;x10 binoculars;50 mm refractor
MAXWELL;Crater;;James Clerk Maxwell;UAI 19XX ?;Not known;Not known;Not known;physicist;United Kingdom;British;19;19 th century;Edimburg;1831;Cambridge;1879;Numerous works on gases and thermodynamics. Author of general equations of the electromagnetic field and of the electromagnetic theory of light on 1873. ;98,9;98,9 ° East;30,2;30,2 ° North;North-East;;III;Mare Marginis;No map or picture;No map or picture;No map or picture;;;107;107;63;63;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Circular formation situated in the zone of librations.;;;;1;Low interest or difficult formation;1;2 days after New Moon;1 day after Full Moon;30;x10 binoculars;50 mm refractor
MCADIE;Crater;;Alexander George McAdie;UAI 1970 ?;Not known;Not known;Not known;meteorologist;USA;American;20;20 th century;??;1863;??;1943;??;92,1;92,1 ° East;2,1;2,1 ° North;North-East;;III;Mare Marginis;No map or picture;No map or picture;No map or picture;;;45;45;26;26;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Circular formation situated in the zone of librations.;;;;1;Low interest or difficult formation;1;2 days after New Moon;1 day after Full Moon;30;x10 binoculars;50 mm refractor
MCAULIFFE;Crater;;Sharon Christa McAuliffe;UAI 1970 ?;Not known;Not known;Not known;teacher;USA;American;20;20 th century;??;1948;??;1986;Challenger shuttle crew member accidented in 1986.;-148,9;148,9 ° West;-33;33 ° North;North-West;;No map;;No map or picture;No map or picture;No map or picture;;;19;19;11;11;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
MCKELLAR;Crater;;Andrew McKellar;UAI 1970 ?;Not known;Not known;Not known;astronomer;Canada;Canadian;20;20 th century;??;1910;??;1960;??;-170,8;170,8 ° West;-15,7;15,7 ° South;South-West;;No map;;No map or picture;No map or picture;No map or picture;;;51;51;30;30;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
